epoch,loss,lr,val_loss
0,102.249049056,0.002,99.8615887851
1,99.9259579813,0.002,100.431223937
2,99.6000990501,0.002,99.9909514104
3,99.7372346862,0.002,100.437701462
4,99.3473055261,0.002,100.207193872
5,99.6565470247,0.002,100.2855715
6,99.4857989662,0.002,99.9639649405
7,99.6434660855,0.001,100.233495976
8,99.3016996384,0.001,100.275102501
9,99.1929540145,0.001,100.273908805
10,99.2118448681,0.001,100.267938038
11,99.1902420174,0.001,100.223889932
12,99.2951119496,0.001,100.262416008
13,99.1731477884,0.001,100.302208194
14,99.2206830815,0.001,100.544343693
15,99.3868400134,0.001,100.214246247
16,99.4030766446,0.001,100.232787526
17,99.4608033335,0.001,100.226185155
18,99.2409359451,0.001,100.309265789
19,99.1894364235,0.001,100.428161896
20,99.3426688349,0.001,100.194978863
21,99.2171073082,0.001,100.281935002
